"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_p_1_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","CV_young_Fem_GP_1","CV_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs.kg_inter_Fem_GP_1","Eggs.kg_slope_wt_Fem_GP_1","RecrDist_GP_1","RecrDist_Area_1","RecrDist_month_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Late_RecrDev_101","Late_RecrDev_102","Late_RecrDev_103","ForeRecr_104","ForeRecr_105","ForeRecr_106","Impl_err_104","Impl_err_105","Impl_err_106","LnQ_base_Survey_2","Size_DblN_peak_Fishery_1","Size_DblN_top_logit_Fishery_1","Size_DblN_ascend_se_Fishery_1","Size_DblN_descend_se_Fishery_1","Size_DblN_start_logit_Fishery_1","Size_DblN_end_logit_Fishery_1","Size_DblN_peak_Survey_2","Size_DblN_top_logit_Survey_2","Size_DblN_ascend_se_Survey_2","Size_DblN_descend_se_Survey_2","Size_DblN_start_logit_Survey_2","Size_DblN_end_logit_Survey_2","minage.sel.1_Fishery_1","maxage.sel.1_Fishery_1","minage.sel.1_Survey_2","maxage.sel.1_Survey_2","Catch_endyear","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_Fishery","Curr_Var_Adj_agecomp_flt_2_Survey","version","RunTime","model_run","hessian","Niterations","ForeRecr_101","ForeRecr_102","ForeRecr_103","Impl_err_101","Impl_err_102","Impl_err_103","Late_RecrDev_104","Late_RecrDev_105","Late_RecrDev_106","ForeRecr_107","Impl_err_107","iteration","scenario"
3797410000,3825010000,3823700000,125876000,1518960000,0.480769,0.101618,156549000,1383940000,0.112543,158116000,1383940000,0.45,0.112543,158116000,158116000,0.012326,0.480632852391498,0.360659611122075,1,26,99,100,0.9,NA,NA,NA,0.2,19.6496,126.35,0.220611,0.0834303,0.136043,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.6508,0.65,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212476,53.6608,-3,5.36329,15,-999,999,48.4294,-4,7.24191,14,-99,99,0,25,0,25,127710000,444.927,9.76392e-16,0,-16.3214,334.697,157.23,-30.6789,7.80002e-31,0,0,0.000669669,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.75,"cod_EM_init",FALSE,397,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,"h-1"
3878720000,3910290000,3908900000,133859000,1551490000,0.4,0.129795,205228000,1745420000,0.110034,195331000,1745420000,0.45,0.110034,195331000,195331000,NA,0.664301625278442,NA,1,26,99,100,0.9,NA,NA,NA,0.2,20.4942,127.644,0.20398,0.0825782,0.127398,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7123,1,0.4,0,0,0.210955,-0.0469018,0.103955,NA,NA,NA,NA,NA,NA,0.0207711,52.7943,-3,5.27531,15,-999,999,44.2094,-4,5.44709,14,-99,99,0,25,0,25,175024000,407.73,2.015e-07,0,-6.24502,263.159,179.539,-31.0642,0,2.09076,0,0.000930803,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.0166666666666667,"cod_SR_BH_steep_1_OM",FALSE,1,NA,NA,NA,NA,NA,NA,0.316067,-0.342736,-0.627829,0,0,4,"h-1"
3925230000,3957430000,3955990000,138389000,1570090000,0.480769,0.10152,161963000,1430530000,0.112439,163610000,1430530000,0.45,0.112439,163610000,163610000,0.0476245,0.541754241152748,0.364424319571706,1,26,99,100,0.9,NA,NA,NA,0.2,19.7881,125.879,0.210929,0.080134,0.118929,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7456,0.65,0.4,0,0,0,0,0,0,0,0,0,0,0,0.209406,56.9789,-3,5.66399,15,-999,999,45.9658,-4,6.62892,14,-99,99,0,25,0,25,224132000,427.772,1.23147e-15,0,-14.1811,312.895,158.892,-29.8343,0,0,0,0.000687104,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.766666666666667,"cod_EM_103",FALSE,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"h-1"
3925190000,3957390000,3955960000,138388000,1570080000,0.480769,0.101522,161963000,1430520000,0.11244,163610000,1430520000,0.45,0.11244,163610000,163610000,0.0532447,0.609374323281166,0.364421155314438,1,26,99,100,0.9,NA,NA,NA,0.2,19.7873,125.877,0.210939,0.0801344,0.118933,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7456,0.65,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209417,56.9782,-3,5.66395,15,-999,999,45.9716,-4,6.6322,14,-99,99,0,25,0,25,127710000,427.772,9.02128e-16,0,-14.1808,312.895,158.892,-29.835,0,0,0,0.000686718,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.733333333333333,"cod_EM_init",FALSE,391,0,0,0,0,0,0,NA,NA,NA,NA,NA,5,"h-1"
3878720000,3910290000,3908900000,133859000,1551490000,0.4,0.129795,205228000,1745420000,0.110034,195331000,1745420000,0.45,0.110034,195331000,195331000,NA,0.574444662156588,NA,1,26,99,100,0.9,NA,NA,NA,0.2,20.4942,127.644,0.20398,0.0825782,0.127398,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7123,1,0.4,0,0,-0.600011,0.453252,-0.254559,NA,NA,NA,NA,NA,NA,0.0207711,52.7943,-3,5.27531,15,-999,999,44.2094,-4,5.44709,14,-99,99,0,25,0,25,201084000,407.73,2.00946e-07,0,-6.24502,263.159,179.539,-31.0642,0,2.09076,0,0.000930803,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.0166666666666667,"cod_SR_BH_steep_1_OM",FALSE,1,NA,NA,NA,NA,NA,NA,0.0865494,0.0839938,-0.155715,0,0,5,"h-1"
3757920000,3786950000,3785620000,127727000,1503170000,0.480769,0.10122,154455000,1369550000,0.112104,156014000,1369550000,0.45,0.112104,156014000,156014000,0.0844772,0.431094860986929,0.361716077866332,1,26,99,100,0.9,NA,NA,NA,0.2,20.0896,126.378,0.213735,0.0893496,0.133609,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.6654,0.65,0.4,0,0,0,0,0,0,0,0,0,0,0,0.0900976,53.4701,-3,5.28576,15,-999,999,44.6867,-4,5.73807,14,-99,99,0,25,0,25,167104000,412.908,1.58249e-15,0,-21.3824,308.647,156.086,-30.4427,0,0,0,0.000877774,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.8,"cod_EM_103",FALSE,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-ctl"
3757930000,3786960000,3785620000,127727000,1503170000,0.480769,0.10122,154454000,1369560000,0.112104,156014000,1369560000,0.45,0.112104,156014000,156014000,0.0685486,0.438190706053599,0.361716427198582,1,26,99,100,0.9,NA,NA,NA,0.2,20.0897,126.379,0.213733,0.0893498,0.133608,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.6654,0.65,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0900968,53.4703,-3,5.28577,15,-999,999,44.6862,-4,5.73786,14,-99,99,0,25,0,25,127710000,412.908,1.28427e-15,0,-21.3824,308.647,156.086,-30.4427,0,0,0,0.000877804,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.766666666666667,"cod_EM_init",FALSE,386,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,"h-ctl"
3878510000,3910070000,3908680000,133853000,1551400000,0.480769,0.0993756,156635000,1413500000,0.110035,158185000,1413500000,0.45,0.110035,158185000,158185000,NA,0.531237511312334,NA,1,26,99,100,0.9,NA,NA,NA,0.2,20.4942,127.644,0.20398,0.0825782,0.127398,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7123,0.65,0.4,0,0,0.182027,0.227921,-0.0752738,NA,NA,NA,NA,NA,NA,0.0207711,52.7943,-3,5.27531,15,-999,999,44.2094,-4,5.44709,14,-99,99,0,25,0,25,163342000,366.797,1.86196e-06,0,-18.5834,256.328,157.775,-31.0642,0,2.09076,0,0.000930803,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.0166666666666667,"cod_OM",FALSE,1,NA,NA,NA,NA,NA,NA,-0.202731,0.189566,-0.707998,0,0,1,"h-ctl"
3942440000,3976820000,3975390000,137381000,1576970000,0.480769,0.0974699,156346000,1436800000,0.107909,157883000,1436800000,0.45,0.107909,157883000,157883000,0.0715315,0.491632085713416,0.358778058147241,1,26,99,100,0.9,NA,NA,NA,0.2,21.153,130.8,0.186627,0.0807458,0.124579,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7383,0.65,0.4,0,0,0,0,0,0,0,0,0,0,0,0.0522894,55.5028,-3,5.54171,15,-999,999,43.6941,-4,5.10519,14,-99,99,0,25,0,25,193279000,435.852,1.66001e-15,0,-20.1323,328.299,158.782,-31.0976,0,0,0,0.000929379,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.75,"cod_EM_103",FALSE,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"h-ctl"
3942490000,3976870000,3975450000,137383000,1.577e+09,0.480769,0.09747,156348000,1436820000,0.107909,157885000,1436820000,0.45,0.107909,157885000,157885000,0.0771428,0.489036116768844,0.358783047980186,1,26,99,100,0.9,NA,NA,NA,0.2,21.153,130.8,0.186627,0.0807445,0.124578,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7383,0.65,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0522671,55.5029,-3,5.54172,15,-999,999,43.694,-4,5.10518,14,-99,99,0,25,0,25,127710000,435.852,1.48538e-15,0,-20.1329,328.301,158.78,-31.0966,0,0,0,0.00092938,0,0,1,1,"3.30.16.00;_2020_09_03;_safe;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.2",0.75,"cod_EM_init",FALSE,373,0,0,0,0,0,0,NA,NA,NA,NA,NA,2,"h-ctl"
